sample_id,sample_set,country,location,year,month,latitude,longitude,sex_call,taxon,population_code,snp_genotypes_vcf,metadata_source
AY0050-C,Ag3.0-WestAfrica-Caputo2024,Côte d'Ivoire,,,,,,,coluzzii,CIcol,https://cog.sanger.ac.uk/vo_agam_output/AY0050-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AY0052-C,Ag3.0-WestAfrica-Caputo2024,Côte d'Ivoire,,,,,,,coluzzii,CIcol,https://cog.sanger.ac.uk/vo_agam_output/AY0052-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AY0053-C,Ag3.0-WestAfrica-Caputo2024,Côte d'Ivoire,,,,,,,coluzzii,CIcol,https://cog.sanger.ac.uk/vo_agam_output/AY0053-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AY0054-C,Ag3.0-WestAfrica-Caputo2024,Côte d'Ivoire,,,,,,,coluzzii,CIcol,https://cog.sanger.ac.uk/vo_agam_output/AY0054-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AY0055-C,Ag3.0-WestAfrica-Caputo2024,Côte d'Ivoire,,,,,,,coluzzii,CIcol,https://cog.sanger.ac.uk/vo_agam_output/AY0055-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AY0056-C,Ag3.0-WestAfrica-Caputo2024,Côte d'Ivoire,,,,,,,coluzzii,CIcol,https://cog.sanger.ac.uk/vo_agam_output/AY0056-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AY0057-C,Ag3.0-WestAfrica-Caputo2024,Côte d'Ivoire,,,,,,,coluzzii,CIcol,https://cog.sanger.ac.uk/vo_agam_output/AY0057-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AY0058-C,Ag3.0-WestAfrica-Caputo2024,Côte d'Ivoire,,,,,,,coluzzii,CIcol,https://cog.sanger.ac.uk/vo_agam_output/AY0058-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AY0059-C,Ag3.0-WestAfrica-Caputo2024,Côte d'Ivoire,,,,,,,coluzzii,CIcol,https://cog.sanger.ac.uk/vo_agam_output/AY0059-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AY0060-C,Ag3.0-WestAfrica-Caputo2024,Côte d'Ivoire,,,,,,,coluzzii,CIcol,https://cog.sanger.ac.uk/vo_agam_output/AY0060-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AY0061-C,Ag3.0-WestAfrica-Caputo2024,Côte d'Ivoire,,,,,,,coluzzii,CIcol,https://cog.sanger.ac.uk/vo_agam_output/AY0061-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AY0062-C,Ag3.0-WestAfrica-Caputo2024,Côte d'Ivoire,,,,,,,coluzzii,CIcol,https://cog.sanger.ac.uk/vo_agam_output/AY0062-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AY0063-C,Ag3.0-WestAfrica-Caputo2024,Côte d'Ivoire,,,,,,,coluzzii,CIcol,https://cog.sanger.ac.uk/vo_agam_output/AY0063-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AY0064-C,Ag3.0-WestAfrica-Caputo2024,Côte d'Ivoire,,,,,,,coluzzii,CIcol,https://cog.sanger.ac.uk/vo_agam_output/AY0064-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AY0065-C,Ag3.0-WestAfrica-Caputo2024,Côte d'Ivoire,,,,,,,coluzzii,CIcol,https://cog.sanger.ac.uk/vo_agam_output/AY0065-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AY0066-C,Ag3.0-WestAfrica-Caputo2024,Côte d'Ivoire,,,,,,,coluzzii,CIcol,https://cog.sanger.ac.uk/vo_agam_output/AY0066-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AY0067-C,Ag3.0-WestAfrica-Caputo2024,Côte d'Ivoire,,,,,,,coluzzii,CIcol,https://cog.sanger.ac.uk/vo_agam_output/AY0067-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AY0068-C,Ag3.0-WestAfrica-Caputo2024,Côte d'Ivoire,,,,,,,coluzzii,CIcol,https://cog.sanger.ac.uk/vo_agam_output/AY0068-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AY0069-C,Ag3.0-WestAfrica-Caputo2024,Côte d'Ivoire,,,,,,,coluzzii,CIcol,https://cog.sanger.ac.uk/vo_agam_output/AY0069-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AY0070-C,Ag3.0-WestAfrica-Caputo2024,Côte d'Ivoire,,,,,,,coluzzii,CIcol,https://cog.sanger.ac.uk/vo_agam_output/AY0070-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AY0071-C,Ag3.0-WestAfrica-Caputo2024,Côte d'Ivoire,,,,,,,coluzzii,CIcol,https://cog.sanger.ac.uk/vo_agam_output/AY0071-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AY0072-C,Ag3.0-WestAfrica-Caputo2024,Côte d'Ivoire,,,,,,,coluzzii,CIcol,https://cog.sanger.ac.uk/vo_agam_output/AY0072-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AY0073-C,Ag3.0-WestAfrica-Caputo2024,Côte d'Ivoire,,,,,,,coluzzii,CIcol,https://cog.sanger.ac.uk/vo_agam_output/AY0073-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AY0074-C,Ag3.0-WestAfrica-Caputo2024,Côte d'Ivoire,,,,,,,coluzzii,CIcol,https://cog.sanger.ac.uk/vo_agam_output/AY0074-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AY0075-C,Ag3.0-WestAfrica-Caputo2024,Côte d'Ivoire,,,,,,,coluzzii,CIcol,https://cog.sanger.ac.uk/vo_agam_output/AY0075-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AY0076-C,Ag3.0-WestAfrica-Caputo2024,Côte d'Ivoire,,,,,,,coluzzii,CIcol,https://cog.sanger.ac.uk/vo_agam_output/AY0076-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AY0077-C,Ag3.0-WestAfrica-Caputo2024,Côte d'Ivoire,,,,,,,coluzzii,CIcol,https://cog.sanger.ac.uk/vo_agam_output/AY0077-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AY0078-C,Ag3.0-WestAfrica-Caputo2024,Côte d'Ivoire,,,,,,,coluzzii,CIcol,https://cog.sanger.ac.uk/vo_agam_output/AY0078-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AY0079-C,Ag3.0-WestAfrica-Caputo2024,Côte d'Ivoire,,,,,,,coluzzii,CIcol,https://cog.sanger.ac.uk/vo_agam_output/AY0079-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AY0080-C,Ag3.0-WestAfrica-Caputo2024,Côte d'Ivoire,,,,,,,coluzzii,CIcol,https://cog.sanger.ac.uk/vo_agam_output/AY0080-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AY0082-C,Ag3.0-WestAfrica-Caputo2024,Côte d'Ivoire,,,,,,,coluzzii,CIcol,https://cog.sanger.ac.uk/vo_agam_output/AY0082-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AY0083-C,Ag3.0-WestAfrica-Caputo2024,Côte d'Ivoire,,,,,,,coluzzii,CIcol,https://cog.sanger.ac.uk/vo_agam_output/AY0083-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AY0084-C,Ag3.0-WestAfrica-Caputo2024,Côte d'Ivoire,,,,,,,coluzzii,CIcol,https://cog.sanger.ac.uk/vo_agam_output/AY0084-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AY0085-C,Ag3.0-WestAfrica-Caputo2024,Côte d'Ivoire,,,,,,,coluzzii,CIcol,https://cog.sanger.ac.uk/vo_agam_output/AY0085-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AY0086-C,Ag3.0-WestAfrica-Caputo2024,Côte d'Ivoire,,,,,,,coluzzii,CIcol,https://cog.sanger.ac.uk/vo_agam_output/AY0086-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AY0087-C,Ag3.0-WestAfrica-Caputo2024,Côte d'Ivoire,,,,,,,coluzzii,CIcol,https://cog.sanger.ac.uk/vo_agam_output/AY0087-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AY0088-C,Ag3.0-WestAfrica-Caputo2024,Côte d'Ivoire,,,,,,,coluzzii,CIcol,https://cog.sanger.ac.uk/vo_agam_output/AY0088-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AY0089-C,Ag3.0-WestAfrica-Caputo2024,Côte d'Ivoire,,,,,,,coluzzii,CIcol,https://cog.sanger.ac.uk/vo_agam_output/AY0089-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AY0090-C,Ag3.0-WestAfrica-Caputo2024,Côte d'Ivoire,,,,,,,coluzzii,CIcol,https://cog.sanger.ac.uk/vo_agam_output/AY0090-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AY0091-C,Ag3.0-WestAfrica-Caputo2024,Côte d'Ivoire,,,,,,,coluzzii,CIcol,https://cog.sanger.ac.uk/vo_agam_output/AY0091-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AY0092-C,Ag3.0-WestAfrica-Caputo2024,Côte d'Ivoire,,,,,,,coluzzii,CIcol,https://cog.sanger.ac.uk/vo_agam_output/AY0092-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AA0039-C,Ag3.0-WestAfrica-Caputo2024,Ghana,,,,,,,coluzzii,GHcol,https://cog.sanger.ac.uk/vo_agam_output/AA0039-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AA0040-C,Ag3.0-WestAfrica-Caputo2024,Ghana,,,,,,,coluzzii,GHcol,https://cog.sanger.ac.uk/vo_agam_output/AA0040-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AA0041-C,Ag3.0-WestAfrica-Caputo2024,Ghana,,,,,,,coluzzii,GHcol,https://cog.sanger.ac.uk/vo_agam_output/AA0041-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AA0042-C,Ag3.0-WestAfrica-Caputo2024,Ghana,,,,,,,coluzzii,GHcol,https://cog.sanger.ac.uk/vo_agam_output/AA0042-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AA0043-C,Ag3.0-WestAfrica-Caputo2024,Ghana,,,,,,,coluzzii,GHcol,https://cog.sanger.ac.uk/vo_agam_output/AA0043-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AA0044-C,Ag3.0-WestAfrica-Caputo2024,Ghana,,,,,,,coluzzii,GHcol,https://cog.sanger.ac.uk/vo_agam_output/AA0044-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AA0049-C,Ag3.0-WestAfrica-Caputo2024,Ghana,,,,,,,coluzzii,GHcol,https://cog.sanger.ac.uk/vo_agam_output/AA0049-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AA0051-C,Ag3.0-WestAfrica-Caputo2024,Ghana,,,,,,,coluzzii,GHcol,https://cog.sanger.ac.uk/vo_agam_output/AA0051-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AA0052-C,Ag3.0-WestAfrica-Caputo2024,Ghana,,,,,,,coluzzii,GHcol,https://cog.sanger.ac.uk/vo_agam_output/AA0052-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AA0053-C,Ag3.0-WestAfrica-Caputo2024,Ghana,,,,,,,coluzzii,GHcol,https://cog.sanger.ac.uk/vo_agam_output/AA0053-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AA0054-C,Ag3.0-WestAfrica-Caputo2024,Ghana,,,,,,,coluzzii,GHcol,https://cog.sanger.ac.uk/vo_agam_output/AA0054-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AA0055-C,Ag3.0-WestAfrica-Caputo2024,Ghana,,,,,,,coluzzii,GHcol,https://cog.sanger.ac.uk/vo_agam_output/AA0055-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AA0056-C,Ag3.0-WestAfrica-Caputo2024,Ghana,,,,,,,coluzzii,GHcol,https://cog.sanger.ac.uk/vo_agam_output/AA0056-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AA0063-C,Ag3.0-WestAfrica-Caputo2024,Ghana,,,,,,,coluzzii,GHcol,https://cog.sanger.ac.uk/vo_agam_output/AA0063-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AA0064-C,Ag3.0-WestAfrica-Caputo2024,Ghana,,,,,,,coluzzii,GHcol,https://cog.sanger.ac.uk/vo_agam_output/AA0064-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AA0065-C,Ag3.0-WestAfrica-Caputo2024,Ghana,,,,,,,coluzzii,GHcol,https://cog.sanger.ac.uk/vo_agam_output/AA0065-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AA0066-C,Ag3.0-WestAfrica-Caputo2024,Ghana,,,,,,,coluzzii,GHcol,https://cog.sanger.ac.uk/vo_agam_output/AA0066-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AA0067-C,Ag3.0-WestAfrica-Caputo2024,Ghana,,,,,,,coluzzii,GHcol,https://cog.sanger.ac.uk/vo_agam_output/AA0067-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AA0068-C,Ag3.0-WestAfrica-Caputo2024,Ghana,,,,,,,coluzzii,GHcol,https://cog.sanger.ac.uk/vo_agam_output/AA0068-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AA0073-C,Ag3.0-WestAfrica-Caputo2024,Ghana,,,,,,,coluzzii,GHcol,https://cog.sanger.ac.uk/vo_agam_output/AA0073-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AA0074-C,Ag3.0-WestAfrica-Caputo2024,Ghana,,,,,,,coluzzii,GHcol,https://cog.sanger.ac.uk/vo_agam_output/AA0074-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AA0075-C,Ag3.0-WestAfrica-Caputo2024,Ghana,,,,,,,coluzzii,GHcol,https://cog.sanger.ac.uk/vo_agam_output/AA0075-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AA0076-C,Ag3.0-WestAfrica-Caputo2024,Ghana,,,,,,,coluzzii,GHcol,https://cog.sanger.ac.uk/vo_agam_output/AA0076-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AA0077-C,Ag3.0-WestAfrica-Caputo2024,Ghana,,,,,,,coluzzii,GHcol,https://cog.sanger.ac.uk/vo_agam_output/AA0077-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AA0079-C,Ag3.0-WestAfrica-Caputo2024,Ghana,,,,,,,coluzzii,GHcol,https://cog.sanger.ac.uk/vo_agam_output/AA0079-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AA0080-C,Ag3.0-WestAfrica-Caputo2024,Ghana,,,,,,,coluzzii,GHcol,https://cog.sanger.ac.uk/vo_agam_output/AA0080-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AA0087-C,Ag3.0-WestAfrica-Caputo2024,Ghana,,,,,,,coluzzii,GHcol,https://cog.sanger.ac.uk/vo_agam_output/AA0087-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AA0088-C,Ag3.0-WestAfrica-Caputo2024,Ghana,,,,,,,coluzzii,GHcol,https://cog.sanger.ac.uk/vo_agam_output/AA0088-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AA0089-C,Ag3.0-WestAfrica-Caputo2024,Ghana,,,,,,,coluzzii,GHcol,https://cog.sanger.ac.uk/vo_agam_output/AA0089-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AA0090-C,Ag3.0-WestAfrica-Caputo2024,Ghana,,,,,,,coluzzii,GHcol,https://cog.sanger.ac.uk/vo_agam_output/AA0090-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AA0091-C,Ag3.0-WestAfrica-Caputo2024,Ghana,,,,,,,coluzzii,GHcol,https://cog.sanger.ac.uk/vo_agam_output/AA0091-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AA0092-C,Ag3.0-WestAfrica-Caputo2024,Ghana,,,,,,,coluzzii,GHcol,https://cog.sanger.ac.uk/vo_agam_output/AA0092-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AA0097-C,Ag3.0-WestAfrica-Caputo2024,Ghana,,,,,,,coluzzii,GHcol,https://cog.sanger.ac.uk/vo_agam_output/AA0097-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AA0098-C,Ag3.0-WestAfrica-Caputo2024,Ghana,,,,,,,coluzzii,GHcol,https://cog.sanger.ac.uk/vo_agam_output/AA0098-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AA0099-C,Ag3.0-WestAfrica-Caputo2024,Ghana,,,,,,,coluzzii,GHcol,https://cog.sanger.ac.uk/vo_agam_output/AA0099-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AA0100-C,Ag3.0-WestAfrica-Caputo2024,Ghana,,,,,,,coluzzii,GHcol,https://cog.sanger.ac.uk/vo_agam_output/AA0100-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AA0101-C,Ag3.0-WestAfrica-Caputo2024,Ghana,,,,,,,coluzzii,GHcol,https://cog.sanger.ac.uk/vo_agam_output/AA0101-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AA0102-C,Ag3.0-WestAfrica-Caputo2024,Ghana,,,,,,,coluzzii,GHcol,https://cog.sanger.ac.uk/vo_agam_output/AA0102-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AA0103-C,Ag3.0-WestAfrica-Caputo2024,Ghana,,,,,,,coluzzii,GHcol,https://cog.sanger.ac.uk/vo_agam_output/AA0103-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AA0104-C,Ag3.0-WestAfrica-Caputo2024,Ghana,,,,,,,coluzzii,GHcol,https://cog.sanger.ac.uk/vo_agam_output/AA0104-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AA0109-C,Ag3.0-WestAfrica-Caputo2024,Ghana,,,,,,,coluzzii,GHcol,https://cog.sanger.ac.uk/vo_agam_output/AA0109-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AA0110-C,Ag3.0-WestAfrica-Caputo2024,Ghana,,,,,,,coluzzii,GHcol,https://cog.sanger.ac.uk/vo_agam_output/AA0110-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AA0111-C,Ag3.0-WestAfrica-Caputo2024,Ghana,,,,,,,coluzzii,GHcol,https://cog.sanger.ac.uk/vo_agam_output/AA0111-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AA0112-C,Ag3.0-WestAfrica-Caputo2024,Ghana,,,,,,,coluzzii,GHcol,https://cog.sanger.ac.uk/vo_agam_output/AA0112-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AA0113-C,Ag3.0-WestAfrica-Caputo2024,Ghana,,,,,,,coluzzii,GHcol,https://cog.sanger.ac.uk/vo_agam_output/AA0113-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AA0114-C,Ag3.0-WestAfrica-Caputo2024,Ghana,,,,,,,coluzzii,GHcol,https://cog.sanger.ac.uk/vo_agam_output/AA0114-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AA0115-C,Ag3.0-WestAfrica-Caputo2024,Ghana,,,,,,,coluzzii,GHcol,https://cog.sanger.ac.uk/vo_agam_output/AA0115-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
