sample_id,sample_set,country,location,year,month,latitude,longitude,sex_call,taxon,population_code,snp_genotypes_vcf,metadata_source
AB0204-C,Ag3.0-WestAfrica-Caputo2024,Burkina Faso,,,,,,,coluzzii,BFcol,https://cog.sanger.ac.uk/vo_agam_output/AB0204-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AB0209-C,Ag3.0-WestAfrica-Caputo2024,Burkina Faso,,,,,,,coluzzii,BFcol,https://cog.sanger.ac.uk/vo_agam_output/AB0209-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AB0210-C,Ag3.0-WestAfrica-Caputo2024,Burkina Faso,,,,,,,coluzzii,BFcol,https://cog.sanger.ac.uk/vo_agam_output/AB0210-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AB0212-C,Ag3.0-WestAfrica-Caputo2024,Burkina Faso,,,,,,,coluzzii,BFcol,https://cog.sanger.ac.uk/vo_agam_output/AB0212-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AB0213-C,Ag3.0-WestAfrica-Caputo2024,Burkina Faso,,,,,,,coluzzii,BFcol,https://cog.sanger.ac.uk/vo_agam_output/AB0213-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AB0214-C,Ag3.0-WestAfrica-Caputo2024,Burkina Faso,,,,,,,coluzzii,BFcol,https://cog.sanger.ac.uk/vo_agam_output/AB0214-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AB0215-C,Ag3.0-WestAfrica-Caputo2024,Burkina Faso,,,,,,,coluzzii,BFcol,https://cog.sanger.ac.uk/vo_agam_output/AB0215-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AB0216-C,Ag3.0-WestAfrica-Caputo2024,Burkina Faso,,,,,,,coluzzii,BFcol,https://cog.sanger.ac.uk/vo_agam_output/AB0216-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AB0219-Cx,Ag3.0-WestAfrica-Caputo2024,Burkina Faso,,,,,,,coluzzii,BFcol,https://cog.sanger.ac.uk/vo_agam_output/AB0219-Cx.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AB0221-C,Ag3.0-WestAfrica-Caputo2024,Burkina Faso,,,,,,,coluzzii,BFcol,https://cog.sanger.ac.uk/vo_agam_output/AB0221-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
